City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,novomalorossiyskaya,RU,45.6348,39.8948,19.6,97,100,4.41,overcast clouds
1,kisangani,CD,0.5167,25.2,73.26,81,98,2.48,overcast clouds
2,kalmunai,LK,7.4167,81.8167,74.48,87,97,11.61,overcast clouds
3,vorukh,TJ,39.8494,70.5838,36.23,68,100,6.24,overcast clouds
4,muzhi,RU,65.3667,64.6667,-19.19,83,99,6.38,overcast clouds
5,ermelo,ZA,-26.5333,29.9833,57.54,83,82,6.91,broken clouds
6,nabire,ID,-3.3667,135.4833,80.17,74,100,2.39,overcast clouds
7,bambous virieux,MU,-20.3428,57.7575,79.0,94,75,8.05,light rain
8,chokurdakh,RU,70.6333,147.9167,-32.22,84,11,3.62,few clouds
9,pyay,MM,18.8167,95.2167,63.95,78,3,1.95,clear sky
10,izvestkovyy,RU,48.9833,131.55,-21.24,80,2,6.06,clear sky
11,shache,CN,38.4167,77.2406,19.98,82,48,0.76,scattered clouds
12,kushmurun,KZ,52.4503,64.6311,-4.05,88,100,7.09,overcast clouds
13,baturaja,ID,-4.1333,104.1667,70.92,94,99,2.73,overcast clouds
14,sabang,ID,5.8933,95.3214,80.89,76,74,14.47,broken clouds
15,yermakovskoye,RU,53.2831,92.4003,19.29,93,100,7.0,overcast clouds
16,nemuro,JP,43.3236,145.575,22.8,97,100,29.51,snow
17,zandvoort,NL,52.3749,4.5341,43.0,87,75,13.8,broken clouds
18,lopsmarka,NO,67.3134,14.4493,23.0,63,0,19.57,clear sky
19,caxito,AO,-8.5785,13.6643,77.0,83,0,10.36,clear sky
20,tondano,ID,1.3038,124.9112,75.2,94,20,1.14,few clouds
21,nikolayevsk-na-amure,RU,53.1406,140.73,-23.82,82,24,6.33,few clouds
22,yarada,IN,17.65,83.2667,66.2,100,20,2.3,mist
23,arusha,TZ,-3.3667,36.6833,63.28,86,100,4.18,light rain
24,kawalu,ID,-7.3817,108.2082,72.07,89,98,3.65,overcast clouds
25,weihe,CN,32.9952,105.3247,28.26,93,97,1.32,overcast clouds
26,hambantota,LK,6.1241,81.1185,74.44,85,91,8.97,overcast clouds
27,bagh,IN,22.3667,74.7667,69.84,35,0,2.08,clear sky
28,wukari,NG,7.85,9.7833,77.29,19,41,4.94,scattered clouds
